Object_ID, Length, Assignment
scaffold128126-11745,150,NA
scaffold96903-22054,150,NA
scaffold4115-5981,150,NA
scaffold73459-60414,150,NA
scaffold74237-107373,150,NA
scaffold2560-5404,150,NA
scaffold100554-16,150,NA
scaffold75681-145617,150,NA
scaffold124904-3113,150,NA
scaffold103126-38562,150,NA
scaffold87237-20114,150,NA
scaffold5004-19215,150,NA
scaffold78348-32382,150,NA
scaffold126459-14252,150,NA
scaffold111459-29288,150,NA
scaffold127459-26586,150,NA
scaffold76459-18161,150,NA
scaffold124347-37264,150,NA
scaffold116015-795,150,NA
scaffold70460-156148,150,NA
scaffold72237-80532,150,NA
scaffold92682-10952,150,NA
scaffold100348-3481,150,NA
scaffold116237-10938,150,NA
scaffold72126-129845,150,NA
scaffold87237-40263,150,NA
scaffold74904-2015,150,NA
scaffold87237-16190,150,NA
scaffold102458-57519,150,NA
scaffold4226-236,150,NA
scaffold101347-54366,150,NA
scaffold70682-60192,150,NA
scaffold120236-8906,150,NA
scaffold110236-21048,150,NA
scaffold96903-29206,150,NA
scaffold84015-18330,150,NA
scaffold5337-3333,150,NA
scaffold83459-81510,150,NA
scaffold85459-47271,150,NA
scaffold68792-118900,150,NA
scaffold102347-57161,150,NA
scaffold89792-22727,150,NA
scaffold98126-16221,150,NA
scaffold70682-179821,150,NA
scaffold68903-83980,150,NA
scaffold77570-56366,150,NA
scaffold20004-11707,150,NA
scaffold72126-8148,150,NA
scaffold73682-95524,150,NA
scaffold74904-86805,150,NA
scaffold17448-7557,150,NA
scaffold70460-34077,150,NA
scaffold106015-12001,150,NA
scaffold108681-4216,150,NA
scaffold30226-5480,150,NA
scaffold70904-152921,150,NA
scaffold82459-19569,150,NA
scaffold95348-51423,150,NA
scaffold73682-124675,150,NA
scaffold74348-106321,150,NA
scaffold82571-21730,150,NA
scaffold96570-56853,150,NA
scaffold118681-29611,150,NA
scaffold92571-20416,150,NA
scaffold72126-7212,150,NA
scaffold70126-15183,150,NA
scaffold76570-2068,150,NA
scaffold85792-73273,150,NA
scaffold11893-25222,150,NA
scaffold82348-131031,150,NA
scaffold41860-6760,150,NA
scaffold98014-3443,150,NA
scaffold69125-201022,150,NA
scaffold95570-36441,150,NA
scaffold94904-62151,150,NA
scaffold77681-32706,150,NA
scaffold124793-1096,150,NA
scaffold98570-43161,150,NA
scaffold109792-52330,150,NA
scaffold8559-13400,150,NA
scaffold107903-14356,150,NA
scaffold104015-15889,150,NA
scaffold671-7030,150,NA
scaffold70015-25782,150,NA
scaffold110459-5412,150,NA
scaffold134347-3798,150,NA
scaffold94348-22640,150,NA
scaffold71126-136007,150,NA
scaffold27337-7465,150,NA
scaffold72348-51384,150,NA
scaffold84570-7660,150,NA
scaffold35226-13207,150,NA
scaffold112014-35430,150,NA
scaffold87237-33693,150,NA
scaffold11893-7612,150,NA
scaffold99125-37637,150,NA
scaffold92459-42821,150,NA
scaffold82793-70596,150,NA
scaffold91014-70375,150,NA
scaffold23004-11067,150,NA
scaffold85792-76971,150,NA
scaffold74126-36843,150,NA
scaffold69238-157675,150,NA
scaffold67150-12,150,NA
scaffold12893-6157,150,1117
scaffold71460-13929,150,NA
scaffold71460-52406,150,NA
scaffold71126-142162,150,NA
scaffold69125-122986,150,NA
scaffold79681-61486,150,NA
scaffold70349-123812,150,NA
scaffold70237-12899,150,NA
scaffold9781-1235,150,NA
scaffold84570-14716,150,NA
scaffold74015-19530,150,NA
scaffold79903-99031,150,NA
scaffold123347-24963,150,NA
scaffold68792-68952,150,NA
scaffold86015-48631,150,NA
scaffold36559-1028,150,NA
scaffold80793-53128,150,NA
scaffold117348-19547,150,NA
scaffold105681-211,150,NA
scaffold75348-26549,150,NA
scaffold97792-62725,150,NA
scaffold86792-8637,150,NA
scaffold81348-68132,150,NA
scaffold81682-104414,150,NA
scaffold3004-19552,150,NA
scaffold93015-50864,150,NA
scaffold71682-41534,150,NA
scaffold68903-15137,150,NA
scaffold116015-19186,150,NA
scaffold74015-84214,150,NA
scaffold70904-27765,150,NA
scaffold119348-3340,150,NA
scaffold77459-8963,150,NA
scaffold110903-31668,150,NA
scaffold95237-42053,150,NA
scaffold89348-10247,150,NA
scaffold95792-23188,150,NA
scaffold71793-26393,150,28890
scaffold131459-17984,150,NA
scaffold98681-52962,150,NA
scaffold40805-1109,150,NA
scaffold70349-94548,150,NA
scaffold105459-36696,150,NA
scaffold5-22884,150,NA
scaffold73793-133797,150,NA
scaffold120681-9181,150,NA
scaffold98348-66280,150,NA
scaffold72237-133238,150,NA
scaffold71793-142790,150,NA
scaffold41160-122,150,NA
scaffold40337-1799,150,NA
scaffold132347-15989,150,NA
scaffold116570-45066,150,NA
scaffold83237-75710,150,NA
scaffold85348-5601,150,NA
scaffold90903-38089,150,NA
scaffold105459-53177,150,NA
scaffold89125-10680,150,NA
scaffold114681-14711,150,NA
scaffold5448-21488,150,NA
scaffold69904-95205,150,NA
scaffold74237-29622,150,NA
scaffold124569-21374,150,NA
scaffold82571-34238,150,NA
scaffold124793-6975,150,NA
scaffold3449-12158,150,NA
scaffold93126-71594,150,NA
scaffold8004-28653,150,NA
scaffold70793-111806,150,NA
scaffold134569-28766,150,NA
scaffold87015-14675,150,NA
scaffold79681-40107,150,NA
scaffold93570-35174,150,NA
scaffold77015-31017,150,NA
scaffold72015-86050,150,NA
scaffold91125-68744,150,NA
scaffold135125-16602,150,NA
scaffold72682-44549,150,NA
scaffold85570-4962,150,NA
scaffold135125-13879,150,NA
scaffold70291-65,150,NA
scaffold92904-59331,150,NA
scaffold116570-30297,150,NA
scaffold70904-156510,150,NA
scaffold80571-964,150,NA
scaffold85348-56342,150,NA
scaffold130570-18937,150,NA
scaffold108348-12691,150,NA
scaffold39337-4558,150,NA
scaffold75681-56425,150,NA
scaffold40516-2467,150,NA
scaffold82682-15139,150,NA
scaffold74570-60904,150,NA
scaffold40505-5163,150,NA
scaffold69125-62161,150,NA
scaffold106126-18667,150,NA
scaffold80073-1,150,NA
scaffold69238-61143,150,NA
scaffold135680-17652,150,NA
scaffold86459-56903,150,NA
scaffold77015-84555,150,NA
scaffold90125-8874,150,NA
scaffold80125-46152,150,NA
scaffold128792-22732,150,NA
scaffold94459-18389,150,NA
scaffold96903-21328,150,NA
scaffold2893-22958,150,NA
scaffold75681-1629,150,NA
scaffold109681-10116,150,NA
scaffold83904-13607,150,NA
scaffold118237-30478,150,NA
scaffold118348-1122,150,NA
scaffold17337-9396,150,NA
scaffold78903-135880,150,NA
scaffold129237-24349,150,NA
scaffold22114-2769,150,NA
scaffold40827-5966,150,NA
scaffold98237-24331,150,NA
scaffold116570-42923,150,NA
scaffold95237-50414,150,NA
