#genome,Exclude,Distance,prct_difference,prct_difference_bin,mash_10K_distance,seq_match,prct_match,time_match_s,tool,TP,TN,FP,FN,new_bins,sw_version,min_version,p,l,clmn,tag_size
G001587575,G001587655,0.011627976000000002,1.153830016,1,0.00165343,64044.0,96.06551967240163,0.0,clark,0.9606551967240163,0.9946105269473652,0.005389473052634737,0.03934480327598362,1,0.0,0.0,0.0,0.0,0.0,0.0
G001418715,G900109425,0.010483746,1.04108136,1,0.000215742,66453.0,99.67900160499198,0.0,clark,0.9967900160499198,0.9946105269473652,0.005389473052634737,0.0032099839500802497,1,0.0,0.0,0.0,0.0,0.0,0.0
G001437625,G001438895,0.009259677,0.920275044,1,0.017184400000000002,66031.0,99.04600476997615,0.0,clark,0.9904600476997615,0.9946105269473652,0.005389473052634737,0.009539952300238498,1,0.0,0.0,0.0,0.0,0.0,0.0
G900079115,G000007005,0.011243566000000002,1.115970706,1,0.00334352,66361.0,99.54100229498853,0.0,clark,0.9954100229498852,0.9946105269473652,0.005389473052634737,0.0045899770501147494,1,0.0,0.0,0.0,0.0,0.0,0.0
G000022425,G000245135,0.009329546,0.927175891,1,0.000780658,66542.0,99.81250093749532,0.0,clark,0.9981250093749531,0.9946105269473652,0.005389473052634737,0.0018749906250468747,1,0.0,0.0,0.0,0.0,0.0,0.0
G001560285,G001481595,0.011082691,1.1001208820000001,1,0.00014350299999999998,66667.0,100.0,0.0,clark,1.0,0.9946105269473652,0.005389473052634737,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
G001560515,G001560565,0.010205313,1.013619458,1,0.000557238,66667.0,100.0,0.0,clark,1.0,0.9946105269473652,0.005389473052634737,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
G001560115,G001560165,0.01068364,1.060790659,1,0.00014350299999999998,66667.0,100.0,0.0,clark,1.0,0.9946105269473652,0.005389473052634737,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
G000371805,G000363885,0.011584994,1.14959782,1,0.0011089000000000001,66667.0,100.0,0.0,clark,1.0,0.9946105269473652,0.005389473052634737,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
G000190135,G000190155,0.012389386,1.22876159,1,0.00141786,66663.0,99.99400002999985,0.0,clark,0.9999400002999985,0.9946105269473652,0.005389473052634737,5.9999700001499995e-05,1,0.0,0.0,0.0,0.0,0.0,0.0
G000724145,G000746745,0.021502154,2.119685018,2,0.010783599999999999,66167.0,99.25000374998125,0.0,clark,0.9925000374998125,0.9946105269473652,0.005389473052634737,0.007499962500187499,1,0.0,0.0,0.0,0.0,0.0,0.0
G001717035,G001717005,0.022239411,2.191291847,2,0.011397399999999999,61508.0,92.26153869230654,0.0,clark,0.9226153869230654,0.9946105269473652,0.005389473052634737,0.07738461307693462,1,0.0,0.0,0.0,0.0,0.0,0.0
G000813245,G000446015,0.018195425,1.797648346,2,0.0123533,60542.0,90.81254593727031,0.0,clark,0.9081254593727032,0.9946105269473652,0.005389473052634737,0.09187454062729686,1,0.0,0.0,0.0,0.0,0.0,0.0
