Object_ID,Length,Gamma,1st_assignment,score1,2nd_assignment,score2,confidence
NW_009589442.1-778,150,0.00833333,NA,1,NA,0,1
NW_009544442.1-1515,150,0.0583333,NA,4,976,2,0.666667
NW_009357205.1-66,150,0.00833333,NA,1,NA,0,1
NW_009395837.1-1131,150,0.00833333,NA,1,NA,0,1
NW_009440913.1-390,150,0.05,NA,2,976,2,0.5
NW_009564509.1-1117,150,0.025,NA,1,201174,1,0.5
NW_009496859.1-757,150,0.0333333,NA,1,976,1,0.5
NW_009445580.1-95,150,0.0166667,NA,1,201174,1,0.5
NW_009550741.1-77,150,0.0833333,NA,4,1239,4,0.5
NW_009563242.1-488,150,0.00833333,NA,1,NA,0,1
NW_009529091.1-826,150,0,NA,0,NA,0,0
NW_009534400.1-593,150,0.025,NA,2,976,1,0.666667
NW_009511746.1-719,150,0.0166667,NA,2,NA,0,1
NW_009514943.1-1688,150,0.0166667,NA,1,1224,1,0.5
NW_009434991.1-1566,150,0.0166667,NA,1,1239,1,0.5
NW_009516399.1-38,150,0,NA,0,NA,0,0
NW_009495270.1-1464,150,0.00833333,NA,1,NA,0,1
NW_009560244.1-18,150,0.0166667,NA,1,32066,1,0.5
NW_009567719.1-189,150,0,NA,0,NA,0,0
NW_009356413.1-105,150,0,NA,0,NA,0,0
NW_009343470.1-300,150,0.0833333,NA,3,1239,2,0.6
NW_009539766.1-79,150,0,NA,0,NA,0,0
NW_009558329.1-158,150,0.00833333,NA,1,NA,0,1
NW_009484803.1-460,150,0.025,NA,2,651137,1,0.666667
NW_009340948.1-446,150,0.0166667,NA,1,28890,1,0.5
NW_009529003.1-1564,150,0.0166667,NA,2,NA,0,1
NW_009427624.1-524,150,0.00833333,NA,1,NA,0,1
NW_009529096.1-111,150,0.025,NA,1,1117,1,0.5
NW_009574134.1-95,150,0.025,NA,3,NA,0,1
NW_009514527.1-211,150,0.025,NA,1,1752722,1,0.5
NW_009562620.1-984,150,0.0666667,NA,2,976,2,0.5
NW_009379885.1-1,150,0.025,NA,2,1239,1,0.666667
NW_009565082.1-147,150,0.0166667,NA,1,976,1,0.5
