Object_ID,Length,Gamma,1st_assignment,score1,2nd_assignment,score2,confidence
NC_039919.1-1233831,150,0.0333333,NA,2,1239,1,0.666667
NC_039910.1-564435,150,0.0166667,NA,2,NA,0,1
NW_020849680.1-3589,150,0.05,NA,2,1224,2,0.5
NC_039900.1-1117474,150,0.00833333,NA,1,NA,0,1
NC_039901.1-709089,150,0.025,NA,1,1239,1,0.5
NW_020850169.1-540,150,0.00833333,NA,1,NA,0,1
NC_039903.1-516280,150,0.0416667,NA,2,976,1,0.666667
NC_039901.1-446866,150,0.0833333,NA,2,1239,2,0.5
NC_039918.1-361701,150,0.0166667,NA,2,NA,0,1
NC_039912.1-482006,150,0.00833333,NA,1,NA,0,1
NC_039908.1-911006,150,0.0666667,NA,2,1239,2,0.5
NW_020850320.1-587,150,0.075,NA,5,976,3,0.625
NC_039904.1-507592,150,0,NA,0,NA,0,0
NC_039919.1-1366275,150,0.0166667,NA,1,1117,1,0.5
NC_039915.1-68694,150,0.025,NA,3,NA,0,1
NC_039919.1-707029,150,0.0666667,NA,3,976,3,0.5
NC_039903.1-599408,150,0,NA,0,NA,0,0
NC_039918.1-811538,150,0.025,NA,1,1239,1,0.5
NC_039916.1-67674,150,0.00833333,NA,1,NA,0,1
NC_039898.1-197583,150,0.0416667,NA,2,1224,1,0.666667
NC_039898.1-1274223,150,0,NA,0,NA,0,0
NC_039909.1-187811,150,0.0583333,NA,5,62680,1,0.833333
NC_039912.1-1101805,150,0.00833333,NA,1,NA,0,1
NC_039917.1-452241,150,0.00833333,NA,1,NA,0,1
NC_039898.1-1493668,150,0.025,NA,2,1239,1,0.666667
NC_039908.1-930706,150,0.175,NA,9,1239,5,0.642857
NC_039901.1-1483402,150,0.0333333,NA,3,1224,1,0.75
NC_039908.1-907176,150,0.00833333,NA,1,NA,0,1
NC_039913.1-503777,150,0.0416667,NA,3,976,1,0.75
NW_020849670.1-285,150,0.00833333,NA,1,NA,0,1
NC_039912.1-555510,150,0.0166667,NA,2,NA,0,1
NC_039899.1-30642,150,0.133333,NA,6,1224,4,0.6
NC_039918.1-1169717,150,0,NA,0,NA,0,0
NC_039915.1-982163,150,0,NA,0,NA,0,0
NC_039910.1-571374,150,0.0833333,NA,3,1239,2,0.6
NC_039906.1-859102,150,0,NA,0,NA,0,0
NW_020849847.1-1159,150,0.00833333,NA,1,NA,0,1
NC_039906.1-1121068,150,0.0416667,NA,3,1798710,1,0.75
NC_039906.1-217284,150,0.0166667,NA,1,201174,1,0.5
NC_039902.1-1139220,150,0.025,NA,1,1239,1,0.5
