#genome,Exclude,Distance,prct_difference,prct_difference_bin,mash_10K_distance,seq_match,prct_match,time_match_s,tool,TP,TN,FP,FN,new_bins,sw_version,min_version,p,l,clmn,tag_size
G001587575,G001587655,0.011627976000000002,1.153830016,1,0.00165343,66299.0,99.4480027599862,0.0,clarkS,0.994480027599862,0.3797171014144929,0.6202828985855071,0.005519972400138,1,0.0,0.0,0.0,0.0,0.0,0.0
G001418715,G900109425,0.010483746,1.04108136,1,0.000215742,66622.0,99.93250033749831,0.0,clarkS,0.9993250033749831,0.3797171014144929,0.6202828985855071,0.0006749966250168749,1,0.0,0.0,0.0,0.0,0.0,0.0
G001437625,G001438895,0.009259677,0.920275044,1,0.017184400000000002,66652.0,99.97750011249944,0.0,clarkS,0.9997750011249944,0.3797171014144929,0.6202828985855071,0.00022499887500562497,1,0.0,0.0,0.0,0.0,0.0,0.0
G900079115,G000007005,0.011243566000000002,1.115970706,1,0.00334352,66635.0,99.9520002399988,0.0,clarkS,0.999520002399988,0.3797171014144929,0.6202828985855071,0.00047999760001199996,1,0.0,0.0,0.0,0.0,0.0,0.0
G000022425,G000245135,0.009329546,0.927175891,1,0.000780658,66664.0,99.99550002249988,0.0,clarkS,0.9999550002249988,0.3797171014144929,0.6202828985855071,4.4999775001124996e-05,1,0.0,0.0,0.0,0.0,0.0,0.0
G001560285,G001481595,0.011082691,1.1001208820000001,1,0.00014350299999999998,66667.0,100.0,0.0,clarkS,1.0,0.3797171014144929,0.6202828985855071,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
G001560515,G001560565,0.010205313,1.013619458,1,0.000557238,66667.0,100.0,0.0,clarkS,1.0,0.3797171014144929,0.6202828985855071,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
G001560115,G001560165,0.01068364,1.060790659,1,0.00014350299999999998,66667.0,100.0,0.0,clarkS,1.0,0.3797171014144929,0.6202828985855071,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
G000371805,G000363885,0.011584994,1.14959782,1,0.0011089000000000001,66667.0,100.0,0.0,clarkS,1.0,0.3797171014144929,0.6202828985855071,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
G000190135,G000190155,0.012389386,1.22876159,1,0.00141786,66667.0,100.0,0.0,clarkS,1.0,0.3797171014144929,0.6202828985855071,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
G000724145,G000746745,0.021502154,2.119685018,2,0.010783599999999999,66525.0,99.78700106499467,0.0,clarkS,0.9978700106499467,0.3797171014144929,0.6202828985855071,0.00212998935005325,1,0.0,0.0,0.0,0.0,0.0,0.0
G001717035,G001717005,0.022239411,2.191291847,2,0.011397399999999999,65325.0,97.98701006494967,0.0,clarkS,0.9798701006494968,0.3797171014144929,0.6202828985855071,0.020129899350503248,1,0.0,0.0,0.0,0.0,0.0,0.0
G000813245,G000446015,0.018195425,1.797648346,2,0.0123533,64059.0,96.08801955990221,0.0,clarkS,0.960880195599022,0.3797171014144929,0.6202828985855071,0.039119804400977995,1,0.0,0.0,0.0,0.0,0.0,0.0
G000022465,G000024305,0.018130286000000002,1.7912902990000001,2,0.00916565,66034.0,99.05050474747627,0.0,clarkS,0.9905050474747626,0.3797171014144929,0.6202828985855071,0.009494952525237374,1,0.0,0.0,0.0,0.0,0.0,0.0
G000022405,G000189555,0.020868978,2.05813095,2,0.013550799999999998,66463.0,99.69400152999235,0.0,clarkS,0.9969400152999235,0.3797171014144929,0.6202828985855071,0.0030599847000764998,1,0.0,0.0,0.0,0.0,0.0,0.0
G000824705,G000016525,0.020325247,2.00523077,2,0.013354699999999999,66449.0,99.67300163499182,0.0,clarkS,0.9967300163499182,0.3797171014144929,0.6202828985855071,0.0032699836500817495,1,0.0,0.0,0.0,0.0,0.0,0.0
G001628485,G001628455,0.021555427999999998,2.124861669,2,0.00808024,66545.0,99.81700091499542,0.0,clarkS,0.9981700091499542,0.3797171014144929,0.6202828985855071,0.0018299908500457498,1,0.0,0.0,0.0,0.0,0.0,0.0
G000949015,G001399695,0.024400408999999998,2.400775869,2,0.00737682,66564.0,99.84550077249614,0.0,clarkS,0.9984550077249614,0.3797171014144929,0.6202828985855071,0.0015449922750386247,1,0.0,0.0,0.0,0.0,0.0,0.0
G000300255,G000437835,0.017796261,1.7586783190000002,2,0.011756399999999998,64451.0,96.67601661991691,0.0,clarkS,0.966760166199169,0.3797171014144929,0.6202828985855071,0.033239833800830995,1,0.0,0.0,0.0,0.0,0.0,0.0
G000969885,G001402855,0.016377064,1.619955291,2,0.0037263000000000005,66371.0,99.5560022199889,0.0,clarkS,0.995560022199889,0.3797171014144929,0.6202828985855071,0.0044399778001109995,1,0.0,0.0,0.0,0.0,0.0,0.0
G001433455,G000151105,0.034525996,3.37433552,4,0.0253218,64424.0,96.6355168224159,0.0,clarkS,0.9663551682241589,0.3797171014144929,0.6202828985855071,0.03364483177584112,1,0.0,0.0,0.0,0.0,0.0,0.0
G002009985,G002011035,0.039295977,3.8284273939999998,4,0.00351914,65163.0,97.7440112799436,0.0,clarkS,0.977440112799436,0.3797171014144929,0.6202828985855071,0.022559887200563997,1,0.0,0.0,0.0,0.0,0.0,0.0
G001918745,G001919175,0.044070486,4.280067381,4,0.00574147,65093.0,97.63901180494098,0.0,clarkS,0.9763901180494098,0.3797171014144929,0.6202828985855071,0.023609881950590248,1,0.0,0.0,0.0,0.0,0.0,0.0
G001917995,G001918475,0.045824042999999995,4.44522281,4,0.0177122,63798.0,95.69652151739241,0.0,clarkS,0.9569652151739241,0.3797171014144929,0.6202828985855071,0.04303478482607587,1,0.0,0.0,0.0,0.0,0.0,0.0
G001627235,G001627075,0.040166961,3.911031822,4,0.020016700000000002,66229.0,99.34300328498358,0.0,clarkS,0.9934300328498358,0.3797171014144929,0.6202828985855071,0.006569967150164249,1,0.0,0.0,0.0,0.0,0.0,0.0
G000241145,G000204585,0.031894266,3.122561497,4,0.03369369999999999,65449.0,98.17300913495433,0.0,clarkS,0.9817300913495433,0.3797171014144929,0.6202828985855071,0.01826990865045675,1,0.0,0.0,0.0,0.0,0.0,0.0
G000956175,G001674955,0.044225125,4.294647291,4,0.08878330000000001,65341.0,98.01100994495027,0.0,clarkS,0.9801100994495028,0.3797171014144929,0.6202828985855071,0.019889900550497247,2,0.0,0.0,0.0,0.0,0.0,0.0
