Object_ID,Length,Gamma,1st_assignment,score1,2nd_assignment,score2,confidence
NC_009635.1-5961392,150,0.0166667,NA,2,NA,0,1
NC_009635.1-1236395,150,0.1,NA,5,32066,3,0.625
NC_009635.1-8908088,150,0.141667,NA,10,28890,4,0.714286
NC_009635.1-6076793,150,0.1,NA,3,1224,3,0.5
NC_009635.1-3283600,150,0.00833333,NA,1,NA,0,1
NC_009635.1-4994164,150,0.0333333,NA,1,32066,1,0.5
NC_009635.1-465257,150,0.291667,NA,11,1224,7,0.611111
NC_009635.1-3021676,150,0.158333,NA,7,28890,6,0.538462
NC_009635.1-318474,150,0.225,28890,20,1239,3,0.869565
NC_009635.1-10291809,150,0.116667,NA,5,976,3,0.625
NC_009635.1-6176386,150,0.283333,NA,18,1239,10,0.642857
NC_009635.1-6284477,150,0.0333333,NA,2,28890,1,0.666667
NC_009635.1-6471569,150,0.0333333,NA,2,1224,1,0.666667
NC_009635.1-7844702,150,0.675,28890,70,1239,4,0.945946
NC_009635.1-3621103,150,0.158333,28890,17,976,1,0.944444
NC_009635.1-6254714,150,0.108333,28890,7,1224,2,0.777778
NC_009635.1-548335,150,0.125,28890,9,976,2,0.818182
NC_009635.1-2330495,150,0.05,NA,4,976,1,0.8
NC_009635.1-10128022,150,0.375,28890,42,976,2,0.954545
NC_009635.1-8980232,150,0.0916667,28890,8,74201,1,0.888889
NC_009635.1-10051460,150,0.075,NA,4,1224,2,0.666667
NC_009635.1-2545458,150,0.0583333,NA,4,32066,1,0.8
NC_009635.1-1336311,150,0.05,NA,3,203691,1,0.75
NC_009635.1-1053410,150,0.216667,28890,17,976,3,0.85
NC_009635.1-10269759,150,0.075,1239,6,1224,1,0.857143
NC_009635.1-3438889,150,0.0333333,NA,1,1239,1,0.5
NC_009635.1-4056992,150,0.0666667,NA,3,1239,2,0.6
NC_009635.1-8085545,150,0.125,28890,9,1239,2,0.818182
NC_009635.1-2947716,150,0.358333,NA,18,1224,7,0.72
NC_009635.1-9277095,150,0.125,NA,11,1239,4,0.733333
NC_009635.1-4255448,150,0.225,28890,22,1239,2,0.916667
NC_009635.1-7194089,150,0.0333333,NA,2,28890,2,0.5
NC_009635.1-3891413,150,0.25,NA,13,976,6,0.684211
NC_009635.1-2156044,150,0.266667,NA,10,200918,8,0.555556
NC_009635.1-6518958,150,0.116667,28890,9,1239,3,0.75
NC_009635.1-7785263,150,0.141667,NA,6,1239,5,0.545455
NC_009635.1-6545039,150,0.0583333,NA,3,28890,2,0.6
NC_009635.1-1032448,150,1.34167,28890,143,1224,11,0.928571
NC_009635.1-7689406,150,0.283333,28890,29,976,2,0.935484
NC_009635.1-2329179,150,0.0416667,NA,4,1239,1,0.8
NC_009635.1-6210675,150,0.25,NA,13,1224,9,0.590909
NC_009635.1-123407,150,0.283333,1239,16,1224,5,0.761905
NC_009635.1-3700524,150,0.0416667,NA,2,976,1,0.666667
NC_009635.1-7311384,150,0.075,NA,3,1117,2,0.6
NC_009635.1-3693426,150,0.125,NA,8,1239,5,0.615385
NC_009635.1-907889,150,0.0833333,NA,5,1239,3,0.625
NC_009635.1-873499,150,0.133333,NA,6,1224,4,0.6
NC_009635.1-10150390,150,0.133333,NA,5,1239,5,0.5
NC_009635.1-5063014,150,0.191667,NA,9,1239,6,0.6
NC_009635.1-4139176,150,0.05,NA,4,1224,1,0.8
NC_009635.1-7107971,150,0.0583333,NA,4,1224,2,0.666667
NC_009635.1-8861022,150,0.183333,NA,9,1224,6,0.6
NC_009635.1-492200,150,0.0916667,NA,8,1239,3,0.727273
NC_009635.1-1037221,150,0.116667,28890,13,1224,1,0.928571
NC_009635.1-7675482,150,0.0416667,NA,2,1239,2,0.5
NC_009635.1-9340326,150,0.0333333,NA,1,200930,1,0.5
NC_009635.1-9833403,150,0.075,NA,3,1239,2,0.6
NC_009635.1-1068325,150,0.208333,NA,8,976,6,0.571429
NC_009635.1-5091455,150,0.025,NA,1,1239,1,0.5
NC_009635.1-4008050,150,0.275,NA,11,28890,10,0.52381
NC_009635.1-3831837,150,0.025,NA,2,1117,1,0.666667
NC_009635.1-1946702,150,0.25,NA,11,28890,10,0.52381
NC_009635.1-345557,150,0.116667,NA,3,28890,3,0.5
NC_009635.1-10118729,150,0.0833333,NA,5,976,2,0.714286
NC_009635.1-10149478,150,0.175,NA,6,1224,3,0.666667
NC_009635.1-2709716,150,0.0416667,NA,2,1224,1,0.666667
NC_009635.1-1520873,150,1.45,28890,168,1224,2,0.988235
NC_009635.1-3603961,150,0.0666667,NA,3,1224,3,0.5
NC_009635.1-5898595,150,0.333333,28890,31,1224,3,0.911765
NC_009635.1-3818023,150,0.0916667,NA,6,1239,3,0.666667
NC_009635.1-3537256,150,1.24167,28890,141,1239,4,0.972414
NC_009635.1-5436113,150,0.025,NA,1,1239,1,0.5
NC_009635.1-8268435,150,0.0666667,NA,2,1239,2,0.5
NC_009635.1-2130133,150,0.0916667,NA,3,1224,3,0.5
NC_009635.1-5344712,150,0.175,NA,6,28890,4,0.6
NC_009635.1-1437663,150,0.0583333,NA,5,1752739,1,0.833333
NC_009635.1-9272242,150,0.05,NA,4,976,1,0.8
NC_009635.1-9217750,150,0.15,28890,13,1239,4,0.764706
NC_009635.1-4907702,150,0.00833333,NA,1,NA,0,1
NC_009635.1-7272708,150,0.125,1239,8,32066,2,0.8
NC_009635.1-6544669,150,0.0583333,NA,2,32066,2,0.5
NC_009635.1-2489148,150,0.1,NA,6,1239,3,0.666667
NC_009635.1-2472419,150,0.0416667,NA,1,28890,1,0.5
NC_009635.1-6956150,150,0.125,NA,5,32066,2,0.714286
NC_009635.1-3981539,150,0.0666667,NA,2,1224,2,0.5
NC_009635.1-5685979,150,0.158333,NA,10,1239,4,0.714286
NC_009635.1-3041071,150,0.116667,28890,8,976,2,0.8
NC_009635.1-7465735,150,0.0583333,NA,3,1239,2,0.6
NC_009635.1-10378276,150,0.108333,NA,7,1224,3,0.7
NC_009635.1-9611775,150,0.0416667,NA,3,1224,1,0.75
NC_009635.1-632503,150,0.158333,NA,7,1224,5,0.583333
NC_009635.1-1733166,150,0.316667,NA,12,1224,7,0.631579
NC_009635.1-6592586,150,0.025,NA,3,NA,0,1
NC_009635.1-6664881,150,0.108333,NA,5,1239,4,0.555556
NC_009635.1-5379453,150,0.0666667,1239,5,28890,1,0.833333
NC_009635.1-1106940,150,0.291667,NA,14,1239,7,0.666667
NC_009635.1-5812887,150,0.183333,NA,7,28890,6,0.538462
NC_009635.1-10110813,150,0.125,NA,4,1224,4,0.5
NC_009635.1-5177027,150,0.166667,NA,6,1239,5,0.545455
NC_009635.1-815747,150,0.0916667,NA,4,1239,3,0.571429
NC_009635.1-9939828,150,0.025,NA,1,1224,1,0.5
NC_009635.1-4211153,150,0.216667,28890,20,1239,3,0.869565
NC_009635.1-7837859,150,0.15,28890,14,544448,1,0.933333
NC_009635.1-1851291,150,0.158333,1239,11,976,2,0.846154
NC_009635.1-5063811,150,0.0666667,NA,3,1130266,2,0.6
NC_009635.1-6543475,150,1.35,28890,160,1117,1,0.993789
NC_009635.1-6580867,150,0.0333333,NA,2,1224,1,0.666667
NC_009635.1-7471766,150,0.0333333,NA,2,456828,1,0.666667
NC_009635.1-8192419,150,0.0333333,NA,1,544448,1,0.5
NC_009635.1-1080457,150,0.075,NA,3,1239,3,0.5
NC_009635.1-7638622,150,0.25,NA,12,1224,6,0.666667
NC_009635.1-6354159,150,0.241667,28890,18,1224,3,0.857143
NC_009635.1-2033219,150,0.241667,28890,25,1224,2,0.925926
NC_009635.1-2558471,150,0.325,1239,20,1224,6,0.769231
NC_009635.1-5269805,150,0.0916667,NA,4,1224,3,0.571429
NC_009635.1-1250325,150,0.116667,1239,7,976,2,0.777778
NC_009635.1-9797026,150,0.15,28890,14,976,1,0.933333
NC_009635.1-2280487,150,0.0583333,NA,3,976,3,0.5
NC_009635.1-8536965,150,0.0583333,NA,3,1224,3,0.5
NC_009635.1-10229956,150,0.05,NA,2,1752722,1,0.666667
NC_009635.1-2076170,150,0.308333,28890,21,1239,6,0.777778
NC_009635.1-6812984,150,0.0666667,1239,6,28890,1,0.857143
NC_009635.1-6297700,150,0.166667,NA,5,1239,5,0.5
NC_009635.1-3062471,150,0.516667,28890,62,NA,0,1
NC_009635.1-422624,150,0.108333,NA,6,28890,4,0.6
NC_009635.1-6985012,150,0.0666667,NA,2,1239,2,0.5
NC_009635.1-9025099,150,0.075,NA,3,1117,2,0.6
