Object_ID,Length,Gamma,1st_assignment,score1,2nd_assignment,score2,confidence
scaffold2939-3346,150,0.025,NA,2,1239,1,0.666667
scaffold32101-57962,150,0.183333,NA,10,976,6,0.625
scaffold57880-9212,150,0,NA,0,NA,0,0
scaffold20336-13441,150,0.0166667,NA,2,NA,0,1
scaffold18379-74170,150,0,NA,0,NA,0,0
scaffold54288-26532,150,0,NA,0,NA,0,0
scaffold68925-13247,150,0.0416667,NA,3,1239,2,0.6
scaffold19686-126984,150,0.0166667,NA,1,1239,1,0.5
scaffold2368-1742,150,0.025,NA,1,1117,1,0.5
scaffold39070-52824,150,0,NA,0,NA,0,0
scaffold29374-62851,150,0.0333333,NA,2,1224,1,0.666667
scaffold62012-24792,150,0.075,NA,3,1239,2,0.6
scaffold26004-7284,150,0.0416667,NA,2,1224,1,0.666667
scaffold51780-54744,150,0.00833333,NA,1,NA,0,1
scaffold42443-5559,150,0.0166667,NA,1,976,1,0.5
scaffold52756-24632,150,0.0416667,NA,3,976,1,0.75
scaffold19904-75583,150,0.116667,NA,6,1239,5,0.545455
scaffold1555-7186,150,0,NA,0,NA,0,0
scaffold46670-8035,150,0.05,NA,2,976,2,0.5
scaffold16643-156795,150,0.025,NA,2,1239,1,0.666667
scaffold15772-8879,150,0.183333,NA,12,1224,6,0.666667
scaffold26658-19003,150,0.141667,NA,6,976,4,0.6
scaffold38634-43633,150,0.00833333,NA,1,NA,0,1
scaffold61834-4,150,0.00833333,NA,1,NA,0,1
scaffold17946-77003,150,0.158333,1239,9,976,3,0.75
scaffold24702-14468,150,0,NA,0,NA,0,0
scaffold15661-103822,150,0.00833333,NA,1,NA,0,1
scaffold29374-58968,150,0.0416667,NA,3,976,1,0.75
scaffold36024-37268,150,0.0166667,NA,1,74201,1,0.5
scaffold60166-5139,150,0.0416667,NA,2,1224,1,0.666667
scaffold36788-16822,150,0.00833333,NA,1,NA,0,1
scaffold17401-52162,150,0.0166667,NA,1,28890,1,0.5
scaffold50689-35229,150,0.0333333,NA,2,976,1,0.666667
scaffold2477-3739,150,0,NA,0,NA,0,0
scaffold32101-65049,150,0.141667,NA,6,1224,5,0.545455
scaffold22957-3774,150,0.00833333,NA,1,NA,0,1
scaffold55708-9600,150,0.0416667,NA,3,1239,2,0.6
scaffold24811-25736,150,0.00833333,NA,1,NA,0,1
scaffold23831-877,150,0.0666667,NA,2,976,2,0.5
scaffold22187-5955,150,0.00833333,NA,1,NA,0,1
scaffold28831-56219,150,0.05,NA,2,1239,2,0.5
scaffold29483-77138,150,0.0166667,NA,1,1224,1,0.5
scaffold37112-1974,150,0,NA,0,NA,0,0
scaffold17401-170356,150,0.0166667,NA,1,976,1,0.5
scaffold17292-107027,150,0.0166667,NA,2,NA,0,1
scaffold21971-54170,150,0.0166667,NA,2,NA,0,1
scaffold67115-12799,150,0.0416667,NA,2,1224,1,0.666667
scaffold15772-108706,150,0.0333333,NA,2,28890,1,0.666667
scaffold4051-139,150,0.0666667,1239,5,28890,1,0.833333
scaffold15661-186965,150,0.00833333,NA,1,NA,0,1
scaffold67052-15983,150,0.0416667,NA,2,1239,1,0.666667
scaffold16643-35674,150,0.0166667,NA,1,1239,1,0.5
scaffold41788-46457,150,0,NA,0,NA,0,0
scaffold31009-68213,150,0.00833333,NA,1,NA,0,1
scaffold67126-8748,150,0,NA,0,NA,0,0
scaffold16534-34785,150,0.0166667,NA,1,74201,1,0.5
scaffold17182-121814,150,0.0416667,NA,4,200795,1,0.8
scaffold30789-12138,150,0.025,NA,1,1239,1,0.5
scaffold14356-261546,150,0.025,NA,2,1239,1,0.666667
scaffold15661-54317,150,0.0166667,NA,2,NA,0,1
scaffold62965-29,150,0.0333333,NA,2,976,2,0.5
scaffold35036-5483,150,0.183333,1239,10,1224,3,0.769231
scaffold48837-9150,150,0.0916667,NA,3,1224,2,0.6
scaffold31992-68447,150,0.0833333,1239,6,976,2,0.75
scaffold15772-107781,150,0,NA,0,NA,0,0
scaffold22080-69066,150,0.00833333,NA,1,NA,0,1
scaffold23285-11275,150,0.00833333,NA,1,NA,0,1
scaffold13760-361,150,0.05,NA,1,1117,1,0.5
scaffold61148-2142,150,0.00833333,NA,1,NA,0,1
scaffold22297-88698,150,0.0166667,NA,1,1239,1,0.5
scaffold54849-75,150,0.00833333,NA,1,NA,0,1
scaffold31335-19823,150,0,NA,0,NA,0,0
scaffold47956-19,150,0.0166667,NA,1,1224,1,0.5
scaffold34385-28720,150,0.0333333,NA,1,976,1,0.5
scaffold28065-62102,150,0.00833333,NA,1,NA,0,1
scaffold25352-36718,150,0.025,NA,2,1239,1,0.666667
scaffold46342-42739,150,0.00833333,NA,1,NA,0,1
scaffold34930-25701,150,0.0166667,NA,1,1117,1,0.5
scaffold40696-34256,150,0.075,NA,4,1224,3,0.571429
scaffold49056-31957,150,0.0416667,NA,3,976,1,0.75
scaffold1727-1647,150,0.05,NA,2,1134404,1,0.666667
scaffold39499-48732,150,0.0333333,NA,3,1224,1,0.75
scaffold55378-36757,150,0.0416667,NA,3,1224,1,0.75
scaffold14575-294774,150,0.00833333,NA,1,NA,0,1
scaffold40368-56913,150,0.0833333,1239,5,976,1,0.833333
scaffold48515-42450,150,0,NA,0,NA,0,0
scaffold28065-86595,150,0,NA,0,NA,0,0
scaffold18489-142531,150,0,NA,0,NA,0,0
scaffold61689-46287,150,0.05,NA,2,1224,2,0.5
scaffold16100-96870,150,0.0416667,NA,1,1117,1,0.5
scaffold67410-2605,150,0.0166667,NA,1,1224,1,0.5
scaffold67301-16261,150,0.05,NA,3,1239,2,0.6
scaffold37764-2973,150,0.0333333,NA,3,1239,1,0.75
scaffold24702-7915,150,0,NA,0,NA,0,0
scaffold1929-2700,150,0.00833333,NA,1,NA,0,1
scaffold32210-54197,150,0.0916667,NA,4,1224,3,0.571429
scaffold31555-7820,150,0.633333,NA,36,1224,17,0.679245
scaffold26334-23045,150,0.0166667,NA,1,32066,1,0.5
scaffold29591-71941,150,0,NA,0,NA,0,0
scaffold14097-59,150,0.00833333,NA,1,NA,0,1
scaffold28723-51039,150,0,NA,0,NA,0,0
scaffold15661-259793,150,0.00833333,NA,1,NA,0,1
scaffold15552-2432,150,0.0416667,NA,3,1117,1,0.75
scaffold69472-4509,150,0.0416667,NA,2,651137,1,0.666667
scaffold65275-10382,150,0.0416667,NA,3,1117,1,0.75
scaffold17075-37184,150,0.00833333,NA,1,NA,0,1
scaffold17075-75229,150,0.075,NA,3,976,2,0.6
scaffold18489-148583,150,0.0333333,NA,2,200783,1,0.666667
scaffold16208-143384,150,0,NA,0,NA,0,0
scaffold25243-34580,150,0.00833333,NA,1,NA,0,1
scaffold16751-138236,150,0,NA,0,NA,0,0
scaffold15119-171603,150,0.175,NA,9,976,6,0.6
scaffold63748-8,150,0.125,NA,6,1224,4,0.6
scaffold25460-49287,150,0.00833333,NA,1,NA,0,1
scaffold14902-111558,150,0.025,NA,1,976,1,0.5
scaffold16687-517,150,0.0166667,NA,2,NA,0,1
scaffold49819-43106,150,0.05,NA,2,67814,1,0.666667
scaffold18164-107050,150,0.00833333,NA,1,NA,0,1
scaffold23940-44469,150,0,NA,0,NA,0,0
scaffold67181-6162,150,0.0166667,NA,2,NA,0,1
scaffold14466-81871,150,0.025,NA,2,976,1,0.666667
scaffold47105-35187,150,0,NA,0,NA,0,0
scaffold4545-120,150,0.0333333,NA,2,28890,1,0.666667
scaffold18598-34511,150,0.0583333,NA,2,1239,2,0.5
scaffold35474-2659,150,0.0583333,NA,3,1224,3,0.5
scaffold22737-72944,150,0.025,NA,1,1239,1,0.5
scaffold20119-24663,150,0.05,NA,1,1117,1,0.5
scaffold20667-103130,150,0.05,NA,3,201174,1,0.75
scaffold58974-54054,150,0.00833333,NA,1,NA,0,1
scaffold25134-3633,150,0.158333,NA,6,1224,6,0.5
scaffold16534-110533,150,0.116667,NA,6,1224,4,0.6
scaffold17292-39801,150,0.0583333,NA,3,976,3,0.5
scaffold46670-26075,150,0.00833333,NA,1,NA,0,1
scaffold14902-175522,150,0.025,NA,2,976,1,0.666667
scaffold14681-223950,150,0.0416667,NA,2,1239,1,0.666667
scaffold48623-84014,150,0.0416667,NA,2,976,1,0.666667
scaffold22847-87378,150,0.075,NA,3,976,2,0.6
scaffold37764-100492,150,0.0916667,NA,4,1239,4,0.5
scaffold31119-37656,150,0.0333333,NA,2,1817899,1,0.666667
scaffold31665-14583,150,0.1,NA,4,1224,4,0.5
scaffold21898-186,150,0.0416667,NA,2,1798710,1,0.666667
scaffold16858-132582,150,0.0166667,NA,2,NA,0,1
scaffold57222-19303,150,0.0333333,NA,2,1224,1,0.666667
scaffold36788-80588,150,0.283333,NA,10,976,7,0.588235
scaffold67432-19866,150,0.0416667,NA,2,976,1,0.666667
scaffold16751-109484,150,0.0333333,NA,4,NA,0,1
scaffold37437-42069,150,0.0333333,NA,3,1224,1,0.75
scaffold50249-44943,150,0.05,NA,2,976,2,0.5
scaffold21864-64151,150,0.025,NA,1,62680,1,0.5
scaffold42770-43635,150,0.025,NA,2,1117,1,0.666667
scaffold37545-43377,150,0,NA,0,NA,0,0
scaffold15772-60737,150,0.0166667,NA,1,1224,1,0.5
scaffold15992-92575,150,0.0416667,NA,4,976,1,0.8
scaffold68577-3739,150,0.0333333,NA,2,1239,1,0.666667
scaffold67987-12822,150,0.025,NA,3,NA,0,1
scaffold55924-23413,150,0.025,NA,1,1224,1,0.5
scaffold47211-21733,150,0.025,NA,1,1224,1,0.5
scaffold18053-23891,150,0.00833333,NA,1,NA,0,1
scaffold27633-82547,150,0.0166667,NA,1,1239,1,0.5
scaffold30803-312,150,0.00833333,NA,1,NA,0,1
scaffold37437-58403,150,0.0166667,NA,1,1239,1,0.5
scaffold24592-133673,150,0.00833333,NA,1,NA,0,1
scaffold42443-39161,150,0.0833333,NA,4,1239,3,0.571429
scaffold61795-4309,150,0.00833333,NA,1,NA,0,1
scaffold14356-22602,150,0.00833333,NA,1,NA,0,1
scaffold18598-180341,150,0.025,NA,2,976,1,0.666667
scaffold49922-18653,150,0.0166667,NA,1,1239,1,0.5
scaffold27196-63655,150,0.025,NA,1,1224,1,0.5
scaffold46342-48384,150,0.00833333,NA,1,NA,0,1
scaffold63750-27070,150,0.0166667,NA,2,NA,0,1
scaffold27088-116195,150,0.0166667,NA,1,1224,1,0.5
scaffold59842-47305,150,0.0666667,NA,3,1239,3,0.5
scaffold15334-77037,150,0.0666667,NA,4,1239,4,0.5
scaffold8266-429,150,0.00833333,NA,1,NA,0,1
scaffold28723-99595,150,0.0166667,NA,1,544448,1,0.5
scaffold25243-13631,150,0.00833333,NA,1,NA,0,1
scaffold33302-14914,150,0.0333333,NA,2,1239,1,0.666667
scaffold25243-122665,150,0.025,NA,2,28890,1,0.666667
scaffold22792-237,150,0,NA,0,NA,0,0
scaffold28393-2463,150,0.05,NA,2,651137,1,0.666667
scaffold55817-27819,150,0.116667,NA,5,976,3,0.625
scaffold16316-76851,150,0.025,NA,1,1239,1,0.5
scaffold26442-32512,150,0.0166667,NA,1,1117,1,0.5
scaffold55817-25159,150,0,NA,0,NA,0,0
scaffold69746-5865,150,0,NA,0,NA,0,0
scaffold20556-32704,150,0.0333333,NA,2,1239,2,0.5
scaffold6704-34,150,0.0333333,NA,2,1239,1,0.666667
scaffold16534-38337,150,0,NA,0,NA,0,0
scaffold19795-8576,150,0.025,NA,1,1117,1,0.5
scaffold18969-504,150,0.025,NA,2,1224,1,0.666667
scaffold53084-31565,150,0.00833333,NA,1,NA,0,1
scaffold39284-11715,150,0.025,NA,2,976,1,0.666667
scaffold68108-22976,150,0.0833333,NA,5,1239,2,0.714286
scaffold19686-38244,150,0.25,NA,9,1224,8,0.529412
scaffold5317-39,150,0.05,NA,3,976,1,0.75
scaffold18924-41680,150,0.0333333,NA,2,1224,1,0.666667
scaffold15443-32470,150,0.00833333,NA,1,NA,0,1
scaffold67432-15034,150,0.108333,NA,4,28890,3,0.571429
scaffold16208-83799,150,0.00833333,NA,1,NA,0,1
scaffold1694-5235,150,0.025,NA,2,1224,1,0.666667
scaffold68968-22270,150,0.00833333,NA,1,NA,0,1
scaffold15229-93200,150,0.025,NA,2,976,1,0.666667
scaffold39179-48838,150,0.0416667,NA,2,28890,1,0.666667
scaffold24916-54068,150,0.0666667,NA,4,1224,3,0.571429
scaffold22847-47977,150,0.00833333,NA,1,NA,0,1
scaffold28939-27092,150,0.075,NA,5,1239,2,0.714286
scaffold20667-152074,150,0.0416667,NA,2,456828,2,0.5
scaffold52866-30285,150,0.158333,NA,8,1239,4,0.666667
scaffold28393-24485,150,0.0166667,NA,1,976,1,0.5
scaffold69615-778,150,0.00833333,NA,1,NA,0,1
scaffold55271-2372,150,0.0166667,NA,2,NA,0,1
scaffold24158-69143,150,0.0416667,NA,3,28890,1,0.75
scaffold42661-15763,150,0.00833333,NA,1,NA,0,1
scaffold27524-10500,150,0.308333,NA,16,1224,6,0.727273
scaffold42985-17828,150,0.00833333,NA,1,NA,0,1
scaffold44391-71579,150,0.00833333,NA,1,NA,0,1
scaffold66877-31514,150,0.175,NA,7,1239,5,0.583333
scaffold24483-83105,150,0.0166667,NA,1,1224,1,0.5
scaffold51453-14860,150,0.00833333,NA,1,NA,0,1
scaffold67256-24018,150,0,NA,0,NA,0,0
scaffold41908-3,150,0.0416667,NA,3,1224,2,0.6
scaffold29701-68654,150,0.0583333,NA,4,1239,1,0.8
scaffold47211-19620,150,0.0666667,NA,3,1239,2,0.6
scaffold31119-45840,150,0.0166667,NA,1,74201,1,0.5
scaffold19795-64076,150,0.0166667,NA,2,NA,0,1
scaffold29046-25977,150,0,NA,0,NA,0,0
scaffold43199-83565,150,0.025,NA,1,1117,1,0.5
scaffold68957-104,150,0.00833333,NA,1,NA,0,1
scaffold14356-70669,150,0.025,NA,2,976,1,0.666667
scaffold67998-11301,150,0.025,NA,2,200930,1,0.666667
scaffold23864-293,150,0.0333333,NA,2,201174,2,0.5
scaffold28065-45636,150,0,NA,0,NA,0,0
scaffold17292-17992,150,0.025,NA,1,976,1,0.5
scaffold15011-175285,150,0,NA,0,NA,0,0
scaffold15772-61267,150,0,NA,0,NA,0,0
scaffold35692-78849,150,0.0166667,NA,1,1224,1,0.5
scaffold68032-6420,150,0.0166667,NA,2,NA,0,1
scaffold48729-26168,150,0.2,NA,7,1224,5,0.583333
scaffold39717-25195,150,0.025,NA,2,1752723,1,0.666667
scaffold35474-17021,150,0.025,NA,2,1224,1,0.666667
scaffold23503-52901,150,0.0416667,NA,3,1224,1,0.75
scaffold27524-35648,150,0.0583333,NA,3,1224,3,0.5
scaffold35914-14650,150,0.00833333,NA,1,NA,0,1
scaffold53630-38478,150,0.00833333,NA,1,NA,0,1
scaffold37764-46180,150,0.025,NA,2,1239,1,0.666667
scaffold61795-11532,150,0.0583333,NA,3,1224,1,0.75
scaffold45262-49691,150,0.00833333,NA,1,NA,0,1
scaffold31992-12701,150,0,NA,0,NA,0,0
scaffold20011-44223,150,0,NA,0,NA,0,0
scaffold30460-49514,150,0.025,NA,2,1239,1,0.666667
scaffold53740-24183,150,0.025,NA,1,200783,1,0.5
scaffold18270-112927,150,0.00833333,NA,1,NA,0,1
scaffold22407-38136,150,0.0416667,NA,3,976,2,0.6
scaffold23612-80779,150,0.0166667,NA,1,976,1,0.5
scaffold24265-27268,150,0.00833333,NA,1,NA,0,1
scaffold25570-14497,150,0.025,NA,2,1224,1,0.666667
scaffold31884-112443,150,0.025,NA,1,1117,1,0.5
scaffold68758-10183,150,0.1,NA,3,1224,2,0.6
scaffold17510-44586,150,0.0166667,NA,1,976,1,0.5
scaffold43308-42644,150,0.025,NA,2,32066,1,0.666667
scaffold62883-1566,150,0.0166667,NA,1,1936987,1,0.5
scaffold15552-22719,150,0,NA,0,NA,0,0
scaffold15552-5860,150,0.075,NA,2,1224,2,0.5
scaffold21864-157053,150,0.0166667,NA,2,NA,0,1
scaffold15552-119144,150,0.0416667,NA,3,1224,2,0.6
scaffold25570-12863,150,0.025,NA,2,544448,1,0.666667
scaffold635-3289,150,0.0583333,NA,2,976,2,0.5
scaffold22187-113610,150,0.025,NA,1,976,1,0.5
scaffold39070-35855,150,0.05,NA,4,57723,1,0.8
scaffold14575-134932,150,0.0666667,NA,5,976,2,0.714286
scaffold67181-7827,150,0,NA,0,NA,0,0
scaffold32863-36410,150,0,NA,0,NA,0,0
scaffold17619-135313,150,0.025,NA,2,1117,1,0.666667
scaffold25570-108444,150,0.0166667,NA,1,1239,1,0.5
scaffold297-7235,150,0,NA,0,NA,0,0
scaffold47105-43775,150,0,NA,0,NA,0,0
scaffold42985-40370,150,0.025,NA,1,1239,1,0.5
scaffold32644-31762,150,0.025,NA,2,1239,1,0.666667
scaffold28723-10432,150,0.00833333,NA,1,NA,0,1
scaffold60494-28194,150,0.283333,NA,15,1224,6,0.714286
scaffold21753-60,150,0.00833333,NA,1,NA,0,1
scaffold43416-58613,150,0.075,NA,4,1224,2,0.666667
scaffold67030-4547,150,0.00833333,NA,1,NA,0,1
scaffold37003-60620,150,0,NA,0,NA,0,0
scaffold17541-3,150,0.025,NA,1,1752718,1,0.5
scaffold52324-11714,150,0.075,NA,3,976,3,0.5
scaffold3649-252,150,0.00833333,NA,1,NA,0,1
scaffold68432-6930,150,0.2,NA,11,1224,6,0.647059
scaffold40478-26764,150,0.0166667,NA,1,1239,1,0.5
scaffold67608-10428,150,0.025,NA,3,NA,0,1
scaffold33628-1922,150,0.05,NA,3,1224,2,0.6
scaffold43960-3315,150,0.025,NA,2,1224,1,0.666667
scaffold31775-33222,150,0,NA,0,NA,0,0
scaffold43654-140,150,0.0166667,NA,1,1224,1,0.5
scaffold58101-38654,150,0.0583333,NA,4,1224,2,0.666667
scaffold15772-19818,150,0,NA,0,NA,0,0
scaffold42229-40621,150,0.0833333,NA,4,1224,2,0.666667
scaffold68411-2228,150,0.0583333,NA,6,1817803,1,0.857143
scaffold24265-43871,150,0.00833333,NA,1,NA,0,1
scaffold19468-58118,150,0.0333333,NA,2,976,1,0.666667
scaffold26334-13601,150,0.00833333,NA,1,NA,0,1
scaffold67508-6430,150,0.0166667,NA,1,1239,1,0.5
scaffold16534-72011,150,0.108333,NA,3,1239,3,0.5
scaffold56579-30738,150,0.025,NA,1,1224,1,0.5
scaffold68662-13235,150,0.325,NA,12,1224,9,0.571429
scaffold55598-22165,150,0.025,NA,1,976,1,0.5
scaffold65383-13415,150,0.05,NA,3,28890,1,0.75
scaffold26254-167,150,0.0333333,NA,3,544448,1,0.75
scaffold42118-60088,150,0.00833333,NA,1,NA,0,1
scaffold53192-12719,150,0.166667,1239,9,976,3,0.75
scaffold31444-131906,150,0.125,NA,4,976,3,0.571429
scaffold33193-46769,150,0.0333333,NA,1,1239,1,0.5
scaffold22080-165699,150,0.0166667,NA,1,976,1,0.5
scaffold30244-87448,150,0.00833333,NA,1,NA,0,1
scaffold37218-30183,150,0.0916667,NA,4,1224,2,0.666667
scaffold67235-5559,150,0.0583333,NA,3,1224,2,0.6
scaffold4491-11,150,0,NA,0,NA,0,0
scaffold62012-1858,150,0.00833333,NA,1,NA,0,1
scaffold30569-48229,150,0.025,NA,2,1239,1,0.666667
scaffold24592-119841,150,0.00833333,NA,1,NA,0,1
scaffold23178-152215,150,0.0416667,NA,2,976,2,0.5
