Object_ID,Length,Gamma,1st_assignment,score1,2nd_assignment,score2,confidence
NZ_LPRN01000001.1-2257864,150,2.94167,28889,353,NA,0,1
NZ_LPRN01000002.1-1523090,150,2.825,28889,338,28890,1,0.99705
NZ_LPRN01000009.1-1328312,150,2.98333,28889,358,NA,0,1
NZ_LPRN01000001.1-2373842,150,2.9,28889,348,NA,0,1
NZ_LPRN01000007.1-1093372,150,2.93333,28889,351,32066,1,0.997159
NZ_LPRN01000001.1-1285884,150,2.98333,28889,358,NA,0,1
NZ_LPRN01000002.1-745133,150,2.9,28889,347,1752729,1,0.997126
NZ_LPRN01000007.1-829875,150,2.44167,28889,292,1224,1,0.996587
NZ_LPRN01000002.1-597074,150,2.925,28889,350,28890,1,0.997151
NZ_LPRN01000013.1-218782,150,2.95,28889,350,1239,3,0.991501
NZ_LPRN01000004.1-142959,150,2.95833,28889,353,976,1,0.997175
NZ_LPRN01000001.1-2582586,150,2.93333,28889,352,NA,0,1
NZ_LPRN01000006.1-670535,150,2.66667,28889,320,NA,0,1
NZ_LPRN01000012.1-244948,150,2.95833,28889,355,NA,0,1
NZ_LPRN01000007.1-1432902,150,2.975,28889,357,NA,0,1
NZ_LPRN01000005.1-341966,150,2.95,28889,354,NA,0,1
NZ_LPRN01000002.1-828978,150,2.91667,28889,350,NA,0,1
NZ_LPRN01000007.1-134644,150,2.925,28889,351,NA,0,1
NZ_LPRN01000011.1-1128995,150,2.425,28889,291,NA,0,1
NZ_LPRN01000009.1-1401045,150,2.95833,28889,354,1224,1,0.997183
NZ_LPRN01000011.1-1051710,150,2.45,28889,294,NA,0,1
NZ_LPRN01000007.1-350894,150,2.98333,28889,358,NA,0,1
NZ_LPRN01000002.1-1623881,150,2.925,28889,350,1239,1,0.997151
NZ_LPRN01000002.1-1338486,150,2.41667,28889,290,NA,0,1
NZ_LPRN01000011.1-1271961,150,2.9,28889,348,NA,0,1
NZ_LPRN01000007.1-1249628,150,2.39167,28889,287,NA,0,1
NZ_LPRN01000001.1-344041,150,2.41667,28889,289,1239,1,0.996552
NZ_LPRN01000009.1-498956,150,2.975,28889,357,NA,0,1
NZ_LPRN01000007.1-755505,150,2.43333,28889,291,201174,1,0.996575
NZ_LPRN01000012.1-421469,150,2.98333,28889,358,NA,0,1
NZ_LPRN01000001.1-543527,150,2.975,28889,357,NA,0,1
NZ_LPRN01000001.1-3496767,150,2.43333,28889,289,1239,3,0.989726
NZ_LPRN01000013.1-285129,150,2.96667,28889,356,NA,0,1
NZ_LPRN01000008.1-396348,150,2.43333,28889,292,NA,0,1
NZ_LPRN01000001.1-2818231,150,2.96667,28889,355,1117,1,0.997191
NZ_LPRN01000013.1-359064,150,2.975,28889,356,1224,1,0.997199
NZ_LPRN01000001.1-2844440,150,2.975,28889,355,1239,2,0.994398
NZ_LPRN01000013.1-622808,150,2.425,28889,290,1239,1,0.996564
NZ_LPRN01000004.1-259951,150,2.38333,28889,283,1224,2,0.992982
NZ_LPRN01000007.1-133321,150,2.98333,28889,358,NA,0,1
NZ_LPRN01000001.1-2508436,150,2.93333,28889,350,203691,1,0.997151
NZ_LPRN01000002.1-400251,150,2.94167,28889,353,NA,0,1
NZ_LPRN01000007.1-1512775,150,2.45,28889,293,976,1,0.996599
NZ_LPRN01000001.1-3614608,150,2.975,28889,357,NA,0,1
NZ_LPRN01000007.1-1505636,150,2.95833,28889,355,NA,0,1
