#genome,Exclude,Distance,prct_difference,prct_difference_bin,mash_10K_distance,seq_match,prct_match,time_match_s,tool,TP,TN,FP,FN,new_bins,sw_version,min_version,p,l,clmn,tag_size
G001587575,G001587655,0.011627976000000002,1.153830016,1,0.00165343,64334.0,96.5005174974125,0.0,bowtie,0.9650051749741251,0.9879985600071999,0.012001439992800036,0.03499482502587487,1,0.0,0.0,0.0,0.0,0.0,0.0
G001418715,G900109425,0.010483746,1.04108136,1,0.000215742,66545.0,99.81700091499542,0.0,bowtie,0.9981700091499542,0.9879985600071999,0.012001439992800036,0.0018299908500457498,1,0.0,0.0,0.0,0.0,0.0,0.0
G001437625,G001438895,0.009259677,0.920275044,1,0.017184400000000002,66400.0,99.59950200249,0.0,bowtie,0.9959950200248999,0.9879985600071999,0.012001439992800036,0.0040049799751001244,1,0.0,0.0,0.0,0.0,0.0,0.0
G900079115,G000007005,0.011243566000000002,1.115970706,1,0.00334352,66445.0,99.66700166499167,0.0,bowtie,0.9966700166499167,0.9879985600071999,0.012001439992800036,0.0033299833500832496,1,0.0,0.0,0.0,0.0,0.0,0.0
G000022425,G000245135,0.009329546,0.927175891,1,0.000780658,66624.0,99.93550032249838,0.0,bowtie,0.9993550032249838,0.9879985600071999,0.012001439992800036,0.000644996775016125,1,0.0,0.0,0.0,0.0,0.0,0.0
G001560285,G001481595,0.011082691,1.1001208820000001,1,0.00014350299999999998,66667.0,100.0,0.0,bowtie,1.0,0.9879985600071999,0.012001439992800036,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
G001560515,G001560565,0.010205313,1.013619458,1,0.000557238,66667.0,100.0,0.0,bowtie,1.0,0.9879985600071999,0.012001439992800036,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
G001560115,G001560165,0.01068364,1.060790659,1,0.00014350299999999998,66667.0,100.0,0.0,bowtie,1.0,0.9879985600071999,0.012001439992800036,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
G000371805,G000363885,0.011584994,1.14959782,1,0.0011089000000000001,66667.0,100.0,0.0,bowtie,1.0,0.9879985600071999,0.012001439992800036,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
G000190135,G000190155,0.012389386,1.22876159,1,0.00141786,66667.0,100.0,0.0,bowtie,1.0,0.9879985600071999,0.012001439992800036,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
G000724145,G000746745,0.021502154,2.119685018,2,0.010783599999999999,66179.0,99.2680036599817,0.0,bowtie,0.992680036599817,0.9879985600071999,0.012001439992800036,0.007319963400182999,1,0.0,0.0,0.0,0.0,0.0,0.0
G001717035,G001717005,0.022239411,2.191291847,2,0.011397399999999999,63198.0,94.79652601736991,0.0,bowtie,0.9479652601736991,0.9879985600071999,0.012001439992800036,0.05203473982630087,1,0.0,0.0,0.0,0.0,0.0,0.0
G000813245,G000446015,0.018195425,1.797648346,2,0.0123533,61342.0,92.0125399373003,0.0,bowtie,0.9201253993730031,0.9879985600071999,0.012001439992800036,0.07987460062699686,1,0.0,0.0,0.0,0.0,0.0,0.0
G000022465,G000024305,0.018130286000000002,1.7912902990000001,2,0.00916565,64146.0,96.21851890740545,0.0,bowtie,0.9621851890740546,0.9879985600071999,0.012001439992800036,0.03781481092594537,1,0.0,0.0,0.0,0.0,0.0,0.0
G000022405,G000189555,0.020868978,2.05813095,2,0.013550799999999998,65690.0,98.53450732746336,0.0,bowtie,0.9853450732746336,0.9879985600071999,0.012001439992800036,0.014654926725366373,1,0.0,0.0,0.0,0.0,0.0,0.0
G000824705,G000016525,0.020325247,2.00523077,2,0.013354699999999999,62611.0,93.9160304198479,0.0,bowtie,0.939160304198479,0.9879985600071999,0.012001439992800036,0.060839695801520995,1,0.0,0.0,0.0,0.0,0.0,0.0
G001628485,G001628455,0.021555427999999998,2.124861669,2,0.00808024,66267.0,99.400002999985,0.0,bowtie,0.99400002999985,0.9879985600071999,0.012001439992800036,0.005999970000149999,1,0.0,0.0,0.0,0.0,0.0,0.0
