Object_ID, Length, Assignment
NZ_CP012200.1-8572392,150,NA
NZ_CP012200.1-3847395,150,28890
NZ_CP012200.1-11519088,150,28890
NZ_CP012200.1-8687793,150,28890
NZ_CP012200.1-5894600,150,28890
NZ_CP012200.1-7605164,150,28890
NZ_CP012200.1-3076257,150,NA
NZ_CP012200.1-5632676,150,28890
NZ_CP012200.1-2929474,150,28890
NZ_CP012200.1-12902809,150,NA
NZ_CP012200.1-8787386,150,28890
NZ_CP012200.1-8895477,150,28890
NZ_CP012200.1-1677321,150,28890
NZ_CP012200.1-454889,150,28890
NZ_CP012200.1-6232103,150,28890
NZ_CP012200.1-8865714,150,NA
NZ_CP012200.1-3159335,150,28890
NZ_CP012200.1-4941495,150,28890
NZ_CP012200.1-12739022,150,28890
NZ_CP012200.1-11591232,150,28890
NZ_CP012200.1-12662460,150,28890
NZ_CP012200.1-5156458,150,28890
NZ_CP012200.1-3947311,150,NA
NZ_CP012200.1-3664410,150,28890
NZ_CP012200.1-12880759,150,NA
NZ_CP012200.1-6049889,150,NA
NZ_CP012200.1-6667992,150,28890
NZ_CP012200.1-10696545,150,28890
NZ_CP012200.1-5558716,150,28890
NZ_CP012200.1-630093,150,28890
NZ_CP012200.1-6866448,150,28890
NZ_CP012200.1-9805089,150,NA
NZ_CP012200.1-6502413,150,NA
NZ_CP012200.1-4767044,150,28890
NZ_CP012200.1-9129958,150,28890
NZ_CP012200.1-10396263,150,28890
NZ_CP012200.1-9156039,150,28890
NZ_CP012200.1-3643448,150,NA
NZ_CP012200.1-870280,150,28890
NZ_CP012200.1-4940179,150,NA
NZ_CP012200.1-8821675,150,NA
NZ_CP012200.1-2734407,150,28890
NZ_CP012200.1-6311524,150,28890
NZ_CP012200.1-9922384,150,28890
NZ_CP012200.1-6304426,150,28890
NZ_CP012200.1-3518889,150,NA
NZ_CP012200.1-3484499,150,28890
NZ_CP012200.1-12761390,150,28890
NZ_CP012200.1-7674014,150,NA
NZ_CP012200.1-6750176,150,28890
NZ_CP012200.1-9718971,150,NA
NZ_CP012200.1-11472022,150,28890
NZ_CP012200.1-3103200,150,28890
NZ_CP012200.1-3648221,150,NA
NZ_CP012200.1-10286482,150,NA
NZ_CP012200.1-11951326,150,NA
NZ_CP012200.1-692972,150,28890
NZ_CP012200.1-1459653,150,NA
NZ_CP012200.1-7702455,150,NA
NZ_CP012200.1-6619050,150,NA
NZ_CP012200.1-6442837,150,NA
NZ_CP012200.1-1102925,150,NA
NZ_CP012200.1-2196534,150,NA
NZ_CP012200.1-12729729,150,NA
NZ_CP012200.1-12760478,150,NA
NZ_CP012200.1-5320716,150,NA
NZ_CP012200.1-4131873,150,28890
NZ_CP012200.1-6214961,150,28890
NZ_CP012200.1-8509595,150,NA
NZ_CP012200.1-6429023,150,NA
NZ_CP012200.1-6148256,150,NA
NZ_CP012200.1-8047113,150,28890
NZ_CP012200.1-10879435,150,28890
NZ_CP012200.1-4741133,150,28890
NZ_CP012200.1-7955712,150,28890
NZ_CP012200.1-4048663,150,NA
NZ_CP012200.1-11883242,150,NA
NZ_CP012200.1-11828750,150,28890
NZ_CP012200.1-7518702,150,28890
NZ_CP012200.1-9883708,150,NA
NZ_CP012200.1-9155669,150,NA
NZ_CP012200.1-5100148,150,28890
NZ_CP012200.1-5083419,150,28890
NZ_CP012200.1-9567150,150,NA
NZ_CP012200.1-6592539,150,NA
NZ_CP012200.1-8296979,150,28890
NZ_CP012200.1-5652071,150,28890
NZ_CP012200.1-10076735,150,NA
NZ_CP012200.1-12989276,150,NA
NZ_CP012200.1-12222775,150,28890
NZ_CP012200.1-3243503,150,28890
NZ_CP012200.1-4344166,150,28890
NZ_CP012200.1-9203586,150,28890
NZ_CP012200.1-9275881,150,NA
NZ_CP012200.1-7990453,150,28890
NZ_CP012200.1-3717940,150,28890
NZ_CP012200.1-8423887,150,28890
NZ_CP012200.1-299539,150,NA
NZ_CP012200.1-7788027,150,NA
NZ_CP012200.1-3426747,150,NA
NZ_CP012200.1-12550828,150,NA
NZ_CP012200.1-6822153,150,28890
NZ_CP012200.1-10448859,150,NA
NZ_CP012200.1-4462291,150,28890
NZ_CP012200.1-7674811,150,28890
NZ_CP012200.1-9154475,150,NA
NZ_CP012200.1-9191867,150,NA
NZ_CP012200.1-10082766,150,28890
NZ_CP012200.1-10803419,150,28890
NZ_CP012200.1-2147658,150,NA
NZ_CP012200.1-10249622,150,NA
NZ_CP012200.1-8965159,150,28890
NZ_CP012200.1-1327794,150,NA
NZ_CP012200.1-5169471,150,NA
NZ_CP012200.1-7880805,150,28890
NZ_CP012200.1-3861325,150,28890
NZ_CP012200.1-12408026,150,NA
NZ_CP012200.1-4891487,150,NA
NZ_CP012200.1-11147965,150,28890
NZ_CP012200.1-710201,150,NA
NZ_CP012200.1-1265469,150,28890
NZ_CP012200.1-476414,150,NA
NZ_CP012200.1-8908700,150,NA
NZ_CP012200.1-5673471,150,NA
NZ_CP012200.1-3033624,150,28890
NZ_CP012200.1-9596012,150,NA
NZ_CP012200.1-11636099,150,NA
NZ_CP012200.1-504760,150,28890
NZ_CP012200.1-9802738,150,NA
NZ_CP012200.1-805008,150,28890
NZ_CP012200.1-12026668,150,28890
NZ_CP012200.1-6237889,150,NA
NZ_CP012200.1-8884501,150,28890
NZ_CP012200.1-7944210,150,28890
NZ_CP012200.1-11828161,150,28890
NZ_CP012200.1-4333042,150,28890
NZ_CP012200.1-2326658,150,NA
NZ_CP012200.1-8765613,150,28890
NZ_CP012200.1-3364331,150,28890
NZ_CP012200.1-11793369,150,28890
NZ_CP012200.1-579988,150,28890
NZ_CP012200.1-12456012,150,28890
NZ_CP012200.1-11640853,150,28890
NZ_CP012200.1-2472658,150,28890
NZ_CP012200.1-3135343,150,NA
NZ_CP012200.1-10221135,150,NA
NZ_CP012200.1-8336674,150,NA
NZ_CP012200.1-4381758,150,28890
NZ_CP012200.1-7351659,150,NA
NZ_CP012200.1-11733544,150,NA
NZ_CP012200.1-11784283,150,28890
NZ_CP012200.1-12713836,150,NA
NZ_CP012200.1-12569766,150,NA
NZ_CP012200.1-13001037,150,NA
NZ_CP012200.1-9156560,150,NA
NZ_CP012200.1-3074260,150,NA
NZ_CP012200.1-3042323,150,NA
NZ_CP012200.1-6956408,150,NA
NZ_CP012200.1-8057029,150,28890
NZ_CP012200.1-6853245,150,NA
NZ_CP012200.1-9730212,150,28890
NZ_CP012200.1-12059566,150,28890
NZ_CP012200.1-12722379,150,28890
NZ_CP012200.1-2161084,150,28890
NZ_CP012200.1-7466521,150,28890
NZ_CP012200.1-5817934,150,28890
NZ_CP012200.1-10164974,150,NA
NZ_CP012200.1-2440123,150,28890
NZ_CP012200.1-600484,150,NA
NZ_CP012200.1-10837698,150,NA
NZ_CP012200.1-7606736,150,28890
NZ_CP012200.1-11055165,150,28890
NZ_CP012200.1-8125043,150,28890
NZ_CP012200.1-990781,150,28890
NZ_CP012200.1-1241216,150,NA
NZ_CP012200.1-2126785,150,NA
NZ_CP012200.1-7115021,150,NA
NZ_CP012200.1-2235452,150,28890
NZ_CP012200.1-10577687,150,NA
NZ_CP012200.1-3626610,150,28890
NZ_CP012200.1-4243310,150,NA
NZ_CP012200.1-10940023,150,NA
NZ_CP012200.1-3057673,150,NA
NZ_CP012200.1-6804123,150,28890
NZ_CP012200.1-811797,150,NA
NZ_CP012200.1-2506335,150,28890
NZ_CP012200.1-1897128,150,28890
NZ_CP012200.1-11954856,150,28890
NZ_CP012200.1-1457922,150,28890
NZ_CP012200.1-6628562,150,NA
NZ_CP012200.1-4661084,150,28890
NZ_CP012200.1-3039769,150,28890
NZ_CP012200.1-9655934,150,28890
NZ_CP012200.1-5544460,150,NA
NZ_CP012200.1-9212390,150,28890
NZ_CP012200.1-2729457,150,28890
NZ_CP012200.1-7008040,150,28890
NZ_CP012200.1-8038955,150,NA
NZ_CP012200.1-10744229,150,28890
NZ_CP012200.1-3544772,150,28890
NZ_CP012200.1-47978,150,28890
NZ_CP012200.1-10354343,150,NA
NZ_CP012200.1-1243657,150,28890
NZ_CP012200.1-9133319,150,28890
NZ_CP012200.1-2287629,150,28890
NZ_CP012200.1-4235807,150,28890
NZ_CP012200.1-553401,150,28890
NZ_CP012200.1-160847,150,28890
NZ_CP012200.1-1708669,150,28890
NZ_CP012200.1-2384573,150,28890
NZ_CP012200.1-8692055,150,28890
NZ_CP012200.1-5490303,150,28890
NZ_CP012200.1-1187236,150,NA
NZ_CP012200.1-12262572,150,NA
NZ_CP012200.1-5726859,150,NA
NZ_CP012200.1-3576846,150,NA
NZ_CP012200.1-4292834,150,28890
NZ_CP012200.1-2578178,150,28890
NZ_CP012200.1-798792,150,NA
NZ_CP012200.1-5210517,150,28890
NZ_CP012200.1-1723253,150,NA
NZ_CP012200.1-2313060,150,28890
NZ_CP012200.1-2478517,150,28890
NZ_CP012200.1-12774568,150,NA
NZ_CP012200.1-1512682,150,28890
NZ_CP012200.1-7424989,150,28890
NZ_CP012200.1-10826681,150,NA
NZ_CP012200.1-2405619,150,NA
NZ_CP012200.1-7513974,150,NA
NZ_CP012200.1-5315512,150,28890
NZ_CP012200.1-6553688,150,28890
NZ_CP012200.1-4364749,150,28890
NZ_CP012200.1-6216297,150,NA
NZ_CP012200.1-3015136,150,NA
NZ_CP012200.1-12714364,150,28890
NZ_CP012200.1-4548886,150,28890
NZ_CP012200.1-4633473,150,28890
NZ_CP012200.1-5150465,150,28890
NZ_CP012200.1-1142732,150,NA
NZ_CP012200.1-5175415,150,NA
NZ_CP012200.1-2017698,150,NA
NZ_CP012200.1-8666530,150,NA
NZ_CP012200.1-11352871,150,NA
NZ_CP012200.1-4421501,150,NA
NZ_CP012200.1-4586700,150,NA
NZ_CP012200.1-8274517,150,NA
NZ_CP012200.1-2687431,150,NA
NZ_CP012200.1-10752493,150,28890
NZ_CP012200.1-5133151,150,28890
NZ_CP012200.1-11811517,150,28890
NZ_CP012200.1-10001512,150,28890
NZ_CP012200.1-6134229,150,28890
NZ_CP012200.1-2282852,150,28890
NZ_CP012200.1-2952843,150,NA
