Object_ID,Length,Gamma,1st_assignment,score1,2nd_assignment,score2,confidence
NC_029257.1-778017,150,0,NA,0,NA,0,0
NC_029265.1-640814,150,0.0333333,NA,1,1224,1,0.5
NC_029256.1-1329439,150,0.00833333,NA,1,NA,0,1
NC_029257.1-893429,150,0.0416667,NA,2,976,1,0.666667
NC_029258.1-527145,150,0.0666667,NA,4,201174,4,0.5
NC_029267.1-1462922,150,0.00833333,NA,1,NA,0,1
NC_029259.1-72259,150,0.025,NA,2,1224,1,0.666667
NC_029258.1-265143,150,0.0166667,NA,1,1239,1,0.5
NC_029266.1-1521277,150,0.00833333,NA,1,NA,0,1
NC_029267.1-1646929,150,0.00833333,NA,1,NA,0,1
NC_029263.1-935895,150,0.025,NA,1,1117,1,0.5
NC_029264.1-1182449,150,0.025,NA,1,976,1,0.5
NC_029260.1-670082,150,0.025,NA,1,1930617,1,0.5
NC_029261.1-1530288,150,0.1,NA,4,976,4,0.5
NC_029258.1-864744,150,0.0166667,NA,2,NA,0,1
NC_029261.1-995023,150,0.00833333,NA,1,NA,0,1
NC_029259.1-155448,150,0.0166667,NA,2,NA,0,1
NC_029266.1-185823,150,0.0166667,NA,1,1117,1,0.5
NC_029267.1-1100302,150,0,NA,0,NA,0,0
NC_029256.1-1401605,150,0.00833333,NA,1,NA,0,1
NC_029256.1-2473067,150,0.0333333,NA,1,1239,1,0.5
NC_029264.1-10284,150,0.00833333,NA,1,NA,0,1
NC_029266.1-431127,150,0,NA,0,NA,0,0
NC_029259.1-661222,150,0.1,NA,6,1224,3,0.666667
NC_029256.1-2691426,150,0.00833333,NA,1,NA,0,1
NC_029263.1-955581,150,0.0166667,NA,1,1224,1,0.5
NC_029258.1-1300750,150,0,NA,0,NA,0,0
NC_029263.1-932065,150,0.00833333,NA,1,NA,0,1
NC_029267.1-370707,150,0.258333,NA,12,976,6,0.666667
NC_029261.1-1705626,150,0,NA,0,NA,0,0
NC_029267.1-1720391,150,0.0583333,NA,3,1224,2,0.6
NC_029257.1-2010912,150,0.0583333,NA,2,976,2,0.5
NC_029267.1-1393285,150,0.0166667,NA,1,1239,1,0.5
NC_029263.1-1701996,150,0.0166667,NA,1,1224,1,0.5
NC_029265.1-647730,150,0,NA,0,NA,0,0
NC_029261.1-375595,150,0.00833333,NA,1,NA,0,1
NC_029267.1-897002,150,0.0166667,NA,1,976,1,0.5
NC_029261.1-637475,150,0,NA,0,NA,0,0
NC_029262.1-1713882,150,0,NA,0,NA,0,0
NC_029259.1-1938808,150,0,NA,0,NA,0,0
NC_029267.1-133380,150,0,NA,0,NA,0,0
NC_029264.1-1458544,150,0.025,NA,2,201174,1,0.666667
NC_029266.1-1254614,150,0.0333333,NA,3,1224,1,0.75
NC_029257.1-2128230,150,0,NA,0,NA,0,0
NC_029258.1-937086,150,0.025,NA,2,201174,1,0.666667
NC_029259.1-515512,150,0,NA,0,NA,0,0
NC_029259.1-481080,150,0.075,NA,4,1239,2,0.666667
NC_029256.1-2572026,150,0.0166667,NA,1,976,1,0.5
NC_029258.1-2307044,150,0.00833333,NA,1,NA,0,1
NC_029258.1-1382950,150,0,NA,0,NA,0,0
NC_029267.1-832408,150,0.0416667,NA,3,1117,1,0.75
NC_029256.1-1282368,150,0.0166667,NA,1,1239,1,0.5
NC_029264.1-105292,150,0.0416667,NA,2,1224,2,0.5
NC_029267.1-730283,150,0.075,NA,5,976,2,0.714286
NC_029265.1-675717,150,0,NA,0,NA,0,0
NC_029256.1-1761775,150,0,NA,0,NA,0,0
NC_029261.1-1768555,150,0.0166667,NA,1,1224,1,0.5
NC_029265.1-1055675,150,0.00833333,NA,1,NA,0,1
NC_029258.1-2335493,150,0.025,NA,1,976,1,0.5
NC_029258.1-1251805,150,0.00833333,NA,1,NA,0,1
