Object_ID,Length,Gamma,1st_assignment,score1,2nd_assignment,score2,confidence
NC_024006.1-1440992,150,0.00833333,NA,1,NA,0,1
NC_023996.1-123529,150,0.0166667,NA,1,1752718,1,0.5
NC_024008.1-699270,150,0.025,NA,2,1224,1,0.666667
NC_024006.1-1556598,150,0.0166667,NA,1,976,1,0.5
NC_024005.1-490479,150,0.025,NA,2,1224,1,0.666667
NC_023992.1-725883,150,0,NA,0,NA,0,0
NC_024003.1-1019863,150,0.00833333,NA,1,NA,0,1
NC_024005.1-228555,150,0,NA,0,NA,0,0
NC_023995.1-175558,150,0,NA,0,NA,0,0
NC_023993.1-137793,150,0.0333333,NA,3,1224,1,0.75
NC_023998.1-1133879,150,0.0166667,NA,1,1224,1,0.5
NC_023997.1-1033421,150,0.025,NA,1,1239,1,0.5
NC_024002.1-1213266,150,0.0333333,NA,2,200795,1,0.666667
NC_024001.1-1552016,150,0.00833333,NA,1,NA,0,1
NC_024005.1-827982,150,0.0166667,NA,1,976,1,0.5
NC_024001.1-1017141,150,0.0166667,NA,1,1239,1,0.5
NC_024003.1-1102941,150,0.025,NA,1,976,1,0.5
NC_023993.1-522125,150,0.0333333,NA,3,28890,1,0.75
NC_023992.1-363386,150,0.0416667,NA,2,976,1,0.666667
NC_024008.1-771425,150,0.0166667,NA,1,201174,1,0.5
NC_024008.1-1842886,150,0.175,NA,7,1224,6,0.538462
NC_023996.1-1041475,150,0.025,NA,1,1239,1,0.5
NC_023993.1-773878,150,0.0166667,NA,1,201174,1,0.5
NC_024003.1-1608016,150,0.0333333,NA,4,NA,0,1
NC_024008.1-2061227,150,0.0166667,NA,1,1224,1,0.5
NC_023998.1-1153567,150,0,NA,0,NA,0,0
NC_024005.1-1263871,150,0.00833333,NA,1,NA,0,1
NC_023998.1-1130048,150,0.00833333,NA,1,NA,0,1
NC_023991.1-150811,150,0.0166667,NA,2,NA,0,1
NC_024002.1-164908,150,0.00833333,NA,1,NA,0,1
NC_023993.1-213196,150,0.025,NA,2,74201,1,0.666667
NC_024007.1-856106,150,0.0166667,NA,1,1224,1,0.5
NC_023992.1-656276,150,0.0916667,NA,2,28890,2,0.5
NC_023999.1-664205,150,0.0416667,NA,2,1224,2,0.5
NC_023996.1-130453,150,0.0166667,NA,1,1239,1,0.5
NC_024001.1-398133,150,0.00833333,NA,1,NA,0,1
